Unnamed: 0,m49_code,food_supply_stage_Harvest
18937,716,False
14201,516,False
18691,716,False
17501,686,False
21861,834,False
165,108,False
1651,156,False
11223,454,True
10157,426,False
13718,508,False
17457,686,True
12921,50,False
5490,270,False
6529,288,False
17885,706,False
20228,768,False
14901,566,False
7985,356,False
11312,454,False
24696,894,True
698,120,False
12059,466,False
10636,450,False
20658,768,False
3934,232,True
4721,24,False
4689,24,True
17384,686,False
11136,454,False
339,108,False
24864,894,False
9148,404,False
12720,50,False
864,120,False
2172,202,False
1344,148,True
1251,148,False
17060,686,False
8238,356,False
3763,231,False
20455,768,False
18049,706,False
10733,450,False
10126,426,False
4057,232,True
4742,24,False
12628,478,True
17610,694,False
13093,50,False
16577,646,False
7240,356,False
4972,24,False
12453,478,False
8624,384,False
11618,466,True
17081,686,True
2587,204,False
2850,204,False
18497,710,False
5927,288,False
25295,894,False
1860,180,False
9899,404,True
11907,466,False
17650,694,True
419,108,False
24020,854,False
17710,694,False
20894,800,True
19101,716,False
5824,288,False
13909,51,False
4310,232,False
1217,148,False
824,120,False
9490,404,False
21332,800,False
2461,204,True
19332,72,True
15094,566,False
4606,24,False
19106,716,False
11171,454,False
627,120,False
20499,768,True
9491,404,False
4097,232,True
9996,404,False
10459,430,False
10490,430,True
25207,894,False
14446,562,True
14693,562,False
4349,232,True
1787,180,False
19757,729,False
11767,466,False
2071,180,True
897,120,False
1286,148,False
13466,508,False
8718,384,True
7451,356,False
12193,478,False
13774,508,True
20116,752,False
16646,646,True
21013,800,False
18668,716,False
15171,566,False
7909,356,True
13151,50,False
13252,50,False
12344,478,True
8235,356,False
1204,148,False
5073,24,True
14055,516,False
1765,180,True
9151,404,False
124,108,False
10531,430,False
11204,454,False
15852,624,False
16648,646,False
8805,384,False
10865,454,True
12300,478,False
423,108,True
4428,24,False
16125,624,True
4639,24,True
736,120,False
13168,50,False
11302,454,False
20824,800,False
17262,686,False
18344,710,False
3417,231,False
12050,466,False
5059,24,False
17328,686,False
9502,404,False
109,108,True
2063,180,False
